"Группа";"Дата";"День";"Пара";"Занятия"
"ТАКХС-Пф-1203";"04.09.2026";"ПТ";"1 пара (08:30-09:55)";"физика — вся группа, Сутягин Артём Борисович, Кривоусова"
"ТАКХС-Пф-1203";"04.09.2026";"ПТ";"2 пара (10:05-11:30)";"история — вся группа, Вагайская Татьяна Александровна, Кривоусова"
"ТАКХС-Пф-1203";"04.09.2026";"ПТ";"3 пара (12:25-13:50)";"история — вся группа, Вагайская Татьяна Александровна, Кривоусова"
"ТАКХС-Пф-1203";"04.09.2026";"ПТ";"4 пара (14:00-15:25)";"-"
"ТАКХС-Пф-1203";"04.09.2026";"ПТ";"5 пара (15:35-16:55)";"-"
"ТАКХС-Пф-1203";"04.09.2026";"ПТ";"6 пара (17:05-18:25)";"-"
"ТАКХС-Пф-1203";"04.09.2026";"ПТ";"7 пара (18:35-19:55)";"-"
"ТАКХС-Пф-1203";"05.09.2026";"СБ";"1 пара (08:30-09:45)";"-"
"ТАКХС-Пф-1203";"05.09.2026";"СБ";"2 пара (09:55-11:10)";"иностранный язык — 2 п/г, Давыдова Валентина Алексеевна, Лесная"
"ТАКХС-Пф-1203";"05.09.2026";"СБ";"3 пара (11:30-12:45)";"математика — вся группа, Домарева Ирина Вячеславовна, Лесная"
"ТАКХС-Пф-1203";"05.09.2026";"СБ";"4 пара (12:55-14:10)";"математика — вся группа, Домарева Ирина Вячеславовна, Лесная"
"ТАКХС-Пф-1203";"05.09.2026";"СБ";"5 пара (14:20-15:30)";"введение в специальность — вся группа, Костарева Наталья Викторовна, Лесная"
"ТАКХС-Пф-1203";"05.09.2026";"СБ";"6 пара (15:40-16:50)";"иностранный язык — 1 п/г, Давыдова Валентина Алексеевна, Лесная"
"ТАКХС-Пф-1203";"05.09.2026";"СБ";"7 пара (17:00-18:10)";"-"
"ТМ-1419";"04.09.2026";"ПТ";"1 пара (08:30-09:55)";"-"
"ТМ-1419";"04.09.2026";"ПТ";"2 пара (10:05-11:30)";"иностранный язык — 2 п/г, Буркова Елена Владимировна, Кривоусова"
"ТМ-1419";"04.09.2026";"ПТ";"3 пара (12:25-13:50)";"обществознание — вся группа, Цимфер Татьяна Ивановна, Кривоусова"
"ТМ-1419";"04.09.2026";"ПТ";"4 пара (14:00-15:25)";"физика — вся группа, Силенок Марина Юрьевна, Кривоусова"
"ТМ-1419";"04.09.2026";"ПТ";"5 пара (15:35-16:55)";"иностранный язык — 1 п/г, Буркова Елена Владимировна, Кривоусова"
"ТМ-1419";"04.09.2026";"ПТ";"6 пара (17:05-18:25)";"-"
"ТМ-1419";"04.09.2026";"ПТ";"7 пара (18:35-19:55)";"-"
"ТМ-1419";"05.09.2026";"СБ";"1 пара (08:30-09:45)";"-"
"ТМ-1419";"05.09.2026";"СБ";"2 пара (09:55-11:10)";"-"
"ТМ-1419";"05.09.2026";"СБ";"3 пара (11:30-12:45)";"-"
"ТМ-1419";"05.09.2026";"СБ";"4 пара (12:55-14:10)";"русский язык — вся группа, Хасанова Гузель Хамитовна, Кривоусова"
"ТМ-1419";"05.09.2026";"СБ";"5 пара (14:20-15:30)";"химия — вся группа, Соболева Любовь Анатольевна, Кривоусова"
"ТМ-1419";"05.09.2026";"СБ";"6 пара (15:40-16:50)";"физика — вся группа, Силенок Марина Юрьевна, Кривоусова"
"ТМ-1419";"05.09.2026";"СБ";"7 пара (17:00-18:10)";"-"
"ТМ-1420";"04.09.2026";"ПТ";"1 пара (08:30-09:55)";"иностранный язык — 2 п/г, Буркова Елена Владимировна, Кривоусова"
"ТМ-1420";"04.09.2026";"ПТ";"2 пара (10:05-11:30)";"обществознание — вся группа, Цимфер Татьяна Ивановна, Кривоусова"
"ТМ-1420";"04.09.2026";"ПТ";"3 пара (12:25-13:50)";"литература — вся группа, Хасанова Гузель Хамитовна, Кривоусова"
"ТМ-1420";"04.09.2026";"ПТ";"4 пара (14:00-15:25)";"иностранный язык — 1 п/г, Буркова Елена Владимировна, Кривоусова"
"ТМ-1420";"04.09.2026";"ПТ";"5 пара (15:35-16:55)";"-"
"ТМ-1420";"04.09.2026";"ПТ";"6 пара (17:05-18:25)";"-"
"ТМ-1420";"04.09.2026";"ПТ";"7 пара (18:35-19:55)";"-"
"ТМ-1420";"05.09.2026";"СБ";"1 пара (08:30-09:45)";"география — вся группа, Кропотова Анастасия Андреевна, Лесная"
"ТМ-1420";"05.09.2026";"СБ";"2 пара (09:55-11:10)";"история — вся группа, Лучинин Александр Васильевич, Лесная"
"ТМ-1420";"05.09.2026";"СБ";"3 пара (11:30-12:45)";"-"
"ТМ-1420";"05.09.2026";"СБ";"4 пара (12:55-14:10)";"-"
"ТМ-1420";"05.09.2026";"СБ";"5 пара (14:20-15:30)";"-"
"ТМ-1420";"05.09.2026";"СБ";"6 пара (15:40-16:50)";"-"
"ТМ-1420";"05.09.2026";"СБ";"7 пара (17:00-18:10)";"-"
"МЦМ-Пф-103";"04.09.2026";"ПТ";"1 пара (08:30-09:55)";"-"
"МЦМ-Пф-103";"04.09.2026";"ПТ";"2 пара (10:05-11:30)";"математика — вся группа, Домарева Ирина Вячеславовна, Лесная"
"МЦМ-Пф-103";"04.09.2026";"ПТ";"3 пара (12:25-13:50)";"математика — вся группа, Домарева Ирина Вячеславовна, Лесная"
"МЦМ-Пф-103";"04.09.2026";"ПТ";"4 пара (14:00-15:25)";"-"
"МЦМ-Пф-103";"04.09.2026";"ПТ";"5 пара (15:35-16:55)";"-"
"МЦМ-Пф-103";"04.09.2026";"ПТ";"6 пара (17:05-18:25)";"-"
"МЦМ-Пф-103";"04.09.2026";"ПТ";"7 пара (18:35-19:55)";"-"
"МЦМ-Пф-103";"05.09.2026";"СБ";"1 пара (08:30-09:45)";"-"
"МЦМ-Пф-103";"05.09.2026";"СБ";"2 пара (09:55-11:10)";"литература — вся группа, Хасанова Гузель Хамитовна, Кривоусова"
"МЦМ-Пф-103";"05.09.2026";"СБ";"3 пара (11:30-12:45)";"русский язык — вся группа, Хасанова Гузель Хамитовна, Кривоусова"
"МЦМ-Пф-103";"05.09.2026";"СБ";"4 пара (12:55-14:10)";"иностранный язык — 2 п/г, Буркова Елена Владимировна, Кривоусова | информатика — 1 п/г, Комарова Яна Николаевна, Кривоусова"
"МЦМ-Пф-103";"05.09.2026";"СБ";"5 пара (14:20-15:30)";"физика — вся группа, Силенок Марина Юрьевна, Кривоусова"
"МЦМ-Пф-103";"05.09.2026";"СБ";"6 пара (15:40-16:50)";"-"
"МЦМ-Пф-103";"05.09.2026";"СБ";"7 пара (17:00-18:10)";"-"
"СП-Пф-1605";"04.09.2026";"ПТ";"1 пара (08:30-09:55)";"математика — вся группа, Журавский Константин Сергеевич, Лесная"
"СП-Пф-1605";"04.09.2026";"ПТ";"2 пара (10:05-11:30)";"история — вся группа, Лучинин Александр Васильевич, Лесная"
"СП-Пф-1605";"04.09.2026";"ПТ";"3 пара (12:25-13:50)";"история — вся группа, Лучинин Александр Васильевич, Лесная"
"СП-Пф-1605";"04.09.2026";"ПТ";"4 пара (14:00-15:25)";"введение в специальность — вся группа, Костарева Наталья Викторовна, Лесная"
"СП-Пф-1605";"04.09.2026";"ПТ";"5 пара (15:35-16:55)";"-"
"СП-Пф-1605";"04.09.2026";"ПТ";"6 пара (17:05-18:25)";"-"
"СП-Пф-1605";"04.09.2026";"ПТ";"7 пара (18:35-19:55)";"-"
"СП-Пф-1605";"05.09.2026";"СБ";"1 пара (08:30-09:45)";"иностранный язык — 2 п/г, Буркова Елена Владимировна, Кривоусова"
"СП-Пф-1605";"05.09.2026";"СБ";"2 пара (09:55-11:10)";"иностранный язык — 2 п/г, Буркова Елена Владимировна, Кривоусова"
"СП-Пф-1605";"05.09.2026";"СБ";"3 пара (11:30-12:45)";"физика — вся группа, Силенок Марина Юрьевна, Кривоусова"
"СП-Пф-1605";"05.09.2026";"СБ";"4 пара (12:55-14:10)";"информатика — 1 п/г, Круглова Юлия Петровна, Кривоусова"
"СП-Пф-1605";"05.09.2026";"СБ";"5 пара (14:20-15:30)";"иностранный язык — 1 п/г, Буркова Елена Владимировна, Кривоусова"
"СП-Пф-1605";"05.09.2026";"СБ";"6 пара (15:40-16:50)";"-"
"СП-Пф-1605";"05.09.2026";"СБ";"7 пара (17:00-18:10)";"-"
"СП-Пф-1606п";"04.09.2026";"ПТ";"1 пара (08:30-09:55)";"-"
"СП-Пф-1606п";"04.09.2026";"ПТ";"2 пара (10:05-11:30)";"-"
"СП-Пф-1606п";"04.09.2026";"ПТ";"3 пара (12:25-13:50)";"иностранный язык — 1 п/г, Буркова Елена Владимировна, Кривоусова | информатика — 2 п/г, Круглова Юлия Петровна, Кривоусова"
"СП-Пф-1606п";"04.09.2026";"ПТ";"4 пара (14:00-15:25)";"техника бесконфликтного общения — вся группа, Рабенок Мария Александровна, Кривоусова"
